#SampleID	qiita_host_age	age
11052.2.24.14.rk.t	37.307	37.307
550.L6S171.s.6.sequence	32.64	32.64
2024.birth.MNIH87NP.BFF10G.O	25.0	25.0
550.L6S236.s.6.sequence	32.83	32.83
2202.Saliva128	26.0	26.0
2202.Saliva129	26.0	26.0
2202.Saliva124	26.0	26.0
2202.Saliva125	26.0	26.0
2202.Saliva126	26.0	26.0
2202.Saliva127	26.0	26.0
2202.Saliva120	26.0	26.0
2202.Saliva121	26.0	26.0
2202.Saliva122	26.0	26.0
2202.Saliva123	26.0	26.0
1774.177.Oral.Puer	50.0	50.0
11052.2.18.14.rk.t	37.29	37.29
1841.T20064	22.0	22.0
550.L6S110.s.6.sequence	32.46	32.46
2024.visit4.MNIH92NP.BFE10P.O	31.0	31.0
1841.T21003	20.0	20.0
1841.T21000	20.0	20.0
1841.T20288	22.0	22.0
2202.Saliva230	26.0	26.0
2202.Saliva232	26.0	26.0
2202.Saliva233	26.0	26.0
550.L6S306.s.6.sequence	33.03	33.03
2024.birth.MNIH31U.BFF10D.O	23.0	23.0
2024.visit4.MNIH31U.BFE10X.O	23.0	23.0
2010.3167	31.0	31.0
1841.T21010	21.0	21.0
550.L6S321.s.6.sequence	33.09	33.09
550.L5S188.s.5.sequence	33.5	33.5
1841.T21139	20.0	20.0
1841.T20841	36.0	36.0
550.L6S323.s.6.sequence	33.14	33.14
550.L5S178.s.5.sequence	33.47	33.47
550.L6S199.s.6.sequence	32.72	32.72
1841.T20487	18.0	18.0
2024.visit1.MNIH57N.BFB10L.O	24.0	24.0
550.L6S183.s.6.sequence	32.68	32.68
2202.Saliva87	26.0	26.0
2202.Saliva84	26.0	26.0
2202.Saliva82	26.0	26.0
2202.Saliva80	26.0	26.0
2202.Saliva81	26.0	26.0
2024.visit5.MNIH48N.BFL110.O	30.0	30.0
2024.visit1.MNIH18UP.BFB110.O	22.0	22.0
2202.Saliva254	26.0	26.0
2202.Saliva88	26.0	26.0
2202.Saliva89	26.0	26.0
1841.T20353	30.0	30.0
1841.T20352	20.0	20.0
1841.T20354	20.0	20.0
1841.T21258	21.0	21.0
1841.T21256	19.0	19.0
11052.10.12.13.rk.t	36.0	36.0
10317.000007081	48.0	48.0
1841.T21250	24.0	24.0
10317.000052294	70.0	70.0
10317.000052291	72.0	72.0
2202.Saliva241	26.0	26.0
1841.T20890	22.0	22.0
2010.2148	22.0	22.0
550.L5S133.s.5.sequence	33.26	33.26
10317.000002808	65.0	65.0
2202.Saliva243	26.0	26.0
10317.000004010	35.0	35.0
10317.000044362	67.0	67.0
550.L5S185.s.5.sequence	33.49	33.49
550.L6S7.s.6.sequence	32.13	32.13
11052.12.19.13.rk.t	37.0	37.0
10317.000076219	52.0	52.0
2024.visit2.MNIH52N.BFC10N.O	22.0	22.0
1841.T20721	22.0	22.0
11052.10.18.13.rk.t	36.0	36.0
550.L6S224.s.6.sequence	32.8	32.8
2024.visit4.MNIH48N.BFE108.O	30.0	30.0
550.L6S182.s.6.sequence	32.67	32.67
11052.12.22.13.rk.t	37.0	37.0
2024.visit4.MNIH34U.BFE11B.O	22.0	22.0
10317.000023669	41.0	41.0
550.L5S216.s.5.sequence	33.59	33.59
1774.485.Oral.Puer	23.0	23.0
10317.000058403	73.0	73.0
2024.visit1.MNIH84NP.BFB112.O	22.0	22.0
1841.T20938	21.0	21.0
550.L6S160.s.6.sequence	32.61	32.61
550.L6S262.s.6.sequence	32.9	32.9
550.L6S240.s.6.sequence	32.84	32.84
11052.11.26.13.rk.t	37.0	37.0
550.L6S260.s.6.sequence	32.9	32.9
2202.Saliva259	26.0	26.0
11052.12.28.13.rk.t	37.0	37.0
550.L5S205.s.5.sequence	33.54	33.54
1841.T20700	23.0	23.0
550.L5S193.s.5.sequence	33.51	33.51
10317.000049842	69.0	69.0
2024.final.MNIH54N.BFG107.O	28.0	28.0
1841.T20891	21.0	21.0
550.L6S273.s.6.sequence	32.94	32.94
550.L5S136.s.5.sequence	33.27	33.27
2024.birth.MNIH92NP.BFF112.O	31.0	31.0
2202.Saliva180	26.0	26.0
2024.visit2.MNIH99NP.BFC11H.O	26.0	26.0
2024.visit2.MNIH93NP.BFC117.O	24.0	24.0
1841.T20614	22.0	22.0
2010.3116	31.0	31.0
1841.T20616	22.0	22.0
10317.000069079	22.0	22.0
1841.T20611	21.0	21.0
1841.T20612	20.0	20.0
1841.T20613	21.0	21.0
550.L6S209.s.6.sequence	32.75	32.75
1841.T20619	21.0	21.0
2024.visit3.MNIH02UP.BFD100.O	19.0	19.0
11052.2.25.14.rk.t	37.31	37.31
1774.111.Oral.Puer	34.0	34.0
11052.12.9.13.rk.t	37.0	37.0
10317.000009474	66.0	66.0
11052.1.17.14.rk.t	37.203	37.203
550.L6S17.s.6.sequence	32.18	32.18
2010.1688	22.0	22.0
550.L6S35.s.6.sequence	32.24	32.24
1841.T20508	22.0	22.0
2024.birth.MNIH62O.BFF10K.O	31.0	31.0
1841.T20707	23.0	23.0
1841.T20501	21.0	21.0
1841.T20502	21.0	21.0
1841.T20504	20.0	20.0
1841.T20506	22.0	22.0
1841.T20507	21.0	21.0
2024.visit1.MNIH93NP.BFB11G.O	24.0	24.0
11052.11.9.13.rk.t	36.0	36.0
2024.final.MNIH50N.BFG10A.O	25.0	25.0
550.L6S6.s.6.sequence	32.13	32.13
2202.Saliva22	26.0	26.0
2024.visit3.MNIH59N.BFD10A.O	20.0	20.0
10317.000013052	41.0	41.0
550.L6S228.s.6.sequence	32.81	32.81
10317.000005717	52.0	52.0
2024.visit3.MNIH85NP.BFD10T.O	20.0	20.0
550.L5S166.s.5.sequence	33.42	33.42
11052.4.6.14.rk.t	37.419	37.419
1841.T20346	22.0	22.0
11052.10.16.13.rk.tA	36.0	36.0
11052.10.16.13.rk.tB	36.0	36.0
550.L6S21.s.6.sequence	32.19	32.19
550.L5S280.s.5.sequence	32.09	32.09
550.L6S229.s.6.sequence	32.81	32.81
2202.Saliva28	26.0	26.0
2024.visit1.MNIH58N.BFB10M.O	18.0	18.0
2024.final.MNIH90NP.BFG117.O	25.0	25.0
10317.000036208	47.0	47.0
2024.final.MNIH96NP.BFG11H.O	22.0	22.0
10317.000068947	39.0	39.0
2024.visit3.MNIH37U.BFD10K.O	20.0	20.0
550.L6S215.s.6.sequence	32.77	32.77
1841.T21306	21.0	21.0
10317.000063240	31.0	31.0
1841.T21069	23.0	23.0
10317.000002532	52.0	52.0
11052.1.29.14.rk.t	37.0	37.0
550.L6S297.s.6.sequence	33.0	33.0
550.L5S207.s.5.sequence	33.55	33.55
10317.000033392	58.0	58.0
550.L6S174.s.6.sequence	32.65	32.65
1841.T21033	23.0	23.0
1841.T21030	23.0	23.0
1841.T21036	27.0	27.0
1841.T21007	22.0	22.0
1841.T21038	22.0	22.0
1774.381.Oral.Puer	20.0	20.0
2024.visit4.MNIH20UP.BFE100.O	20.0	20.0
1841.T21462	22.0	22.0
2202.Saliva139	26.0	26.0
2202.Saliva138	26.0	26.0
2202.Saliva137	26.0	26.0
2202.Saliva136	26.0	26.0
2202.Saliva135	26.0	26.0
2202.Saliva134	26.0	26.0
2202.Saliva133	26.0	26.0
2202.Saliva131	26.0	26.0
2202.Saliva130	26.0	26.0
10317.000011978	53.0	53.0
10317.000007837	37.0	37.0
10317.000007833	37.0	37.0
10317.000007830	37.0	37.0
2024.visit2.MNIH92NP.BFC116.O	31.0	31.0
11052.12.13.13.rk.t	37.0	37.0
10317.000003818	53.0	53.0
550.L6S257.s.6.sequence	32.89	32.89
2024.visit2.MNIH02UP.BFC10P.O	19.0	19.0
2202.Saliva189	26.0	26.0
2202.Saliva229	26.0	26.0
2202.Saliva228	26.0	26.0
2202.Saliva9	26.0	26.0
2202.Saliva8	26.0	26.0
550.L6S78.s.6.sequence	32.37	32.37
550.L5S278.s.5.sequence	32.08	32.08
2202.Saliva5	26.0	26.0
2202.Saliva4	26.0	26.0
2202.Saliva221	26.0	26.0
2202.Saliva6	26.0	26.0
2202.Saliva1	26.0	26.0
2202.Saliva226	26.0	26.0
2202.Saliva3	26.0	26.0
1841.T20290	22.0	22.0
1841.T20291	21.0	21.0
1841.T20294	32.0	32.0
1841.T20296	21.0	21.0
1841.T20297	55.0	55.0
1774.56.Oral.Puer	30.0	30.0
2010.3179	31.0	31.0
2202.Saliva265	26.0	26.0
550.L6S293.s.6.sequence	32.99	32.99
1841.T21106	20.0	20.0
1841.T21105	32.0	32.0
10317.000007152	38.0	38.0
2024.visit5.MNIH97NP.BFL10H.O	28.0	28.0
2024.visit4.MNIH87NP.BFE10A.O	25.0	25.0
1841.T21109	21.0	21.0
2202.Saliva91	26.0	26.0
1841.T21243	24.0	24.0
1841.T21245	33.0	33.0
550.L6S103.s.6.sequence	32.44	32.44
10317.000023062	67.0	67.0
2202.Saliva92	26.0	26.0
10317.000068851	31.0	31.0
550.L5S234.s.5.sequence	31.94	31.94
550.L5S229.s.5.sequence	33.63	33.63
10317.000022131	60.0	60.0
2024.visit2.MNIH48N.BFC10W.O	30.0	30.0
2024.birth.MNIH61O.BFF107.O	36.0	36.0
10317.000034599	32.0	32.0
2202.Saliva78	26.0	26.0
2202.Saliva97	26.0	26.0
2010.2901	24.0	24.0
2202.Saliva73	26.0	26.0
2202.Saliva72	26.0	26.0
2202.Saliva71	26.0	26.0
2202.Saliva70	26.0	26.0
2010.2317	23.0	23.0
2202.Saliva76	26.0	26.0
2202.Saliva75	26.0	26.0
2202.Saliva74	26.0	26.0
1841.T20341	25.0	25.0
550.L5S235.s.5.sequence	31.94	31.94
1841.T20347	55.0	55.0
2202.Saliva98	26.0	26.0
2202.Saliva250	26.0	26.0
10317.000003104	30.0	30.0
550.L5S160.s.5.sequence	33.4	33.4
550.L6S189.s.6.sequence	32.7	32.7
11052.10.10.13.rk.tA	36.0	36.0
550.L5S243.s.5.sequence	31.96	31.96
10317.000031838	63.0	63.0
10317.000003236	57.0	57.0
2010.2959	23.0	23.0
10317.000072297	31.0	31.0
10052.MG.O12	45.0	45.0
550.L6S63.s.6.sequence	32.32	32.32
10317.000013341	62.0	62.0
550.L5S237.s.5.sequence	31.95	31.95
10317.000001933	53.0	53.0
550.L6S177.s.6.sequence	32.66	32.66
550.L6S102.s.6.sequence	32.44	32.44
550.L6S211.s.6.sequence	32.76	32.76
10317.000052307	83.0	83.0
2202.Saliva260	26.0	26.0
1841.T20203	21.0	21.0
550.L6S163.s.6.sequence	32.62	32.62
10317.000072314	42.0	42.0
1841.T20755	20.0	20.0
1841.T20754	22.0	22.0
1841.T20757	21.0	21.0
1841.T20756	23.0	23.0
1841.T20753	20.0	20.0
1841.T20752	20.0	20.0
2010.2045	34.0	34.0
1841.T20759	22.0	22.0
2024.visit4.MNIH50N.BFE109.O	25.0	25.0
550.L5S222.s.5.sequence	33.61	33.61
2024.visit2.MNIH57N.BFC108.O	24.0	24.0
10317.000040508	52.0	52.0
2024.visit3.MNIH14UP.BFD11A.O	18.0	18.0
550.L5S123.s.5.sequence	33.21	33.21
2024.visit4.MNIH54N.BFE103.O	28.0	28.0
10317.000050216	35.0	35.0
10317.000028876	66.0	66.0
550.L5S217.s.5.sequence	33.6	33.6
1841.T20822	21.0	21.0
1841.T20209	25.0	25.0
550.L5S134.s.5.sequence	33.26	33.26
1841.T20208	20.0	20.0
550.L5S150.s.5.sequence	33.33	33.33
10317.000004208	76.0	76.0
11052.10.25.13.rk.t	36.0	36.0
10317.000052304	69.0	69.0
11052.10.8.13.rk.t	36.0	36.0
1774.524.Oral.Puer	20.0	20.0
1774.58Oral24.10.09	26.0	26.0
10317.000022130	59.0	59.0
10317.000009106	36.0	36.0
11052.2.26.14.rk.t	37.312	37.312
10317.000015225	53.0	53.0
10317.000006975	67.0	67.0
2010.1839	32.0	32.0
1841.T20806	22.0	22.0
2024.visit2.MNIH50N.BFC10D.O	25.0	25.0
550.L6S298.s.6.sequence	33.01	33.01
550.L6S246.s.6.sequence	32.86	32.86
550.L5S128.s.5.sequence	33.22	33.22
2010.1301	34.0	34.0
550.L6S153.s.6.sequence	32.59	32.59
10317.000052302	60.0	60.0
2010.1307	27.0	27.0
1841.T20671	21.0	21.0
550.L5S273.s.5.sequence	32.07	32.07
2024.visit1.MNIH45N.BFB105.O	19.0	19.0
10317.000032930	45.0	45.0
550.L5S101.s.5.sequence	33.15	33.15
550.L6S58.s.6.sequence	32.31	32.31
1841.T20579	21.0	21.0
10317.000007092	21.0	21.0
1841.T20574	21.0	21.0
1841.T20577	29.0	29.0
11052.12.17.13.rk.t	37.0	37.0
1841.T20570	22.0	22.0
1841.T20573	22.0	22.0
1841.T20575	20.0	20.0
10317.000009649	53.0	53.0
10052.MG.O17	46.0	46.0
550.L5S260.s.5.sequence	32.01	32.01
2024.visit1.MNIH52N.BFB10E.O	22.0	22.0
1841.T20825	21.0	21.0
10317.000079425	37.0	37.0
10317.000014225	38.0	38.0
1841.T21042	20.0	20.0
11052.5.12.rk.t	35.0	35.0
1841.T20572	23.0	23.0
550.L6S24.s.6.sequence	32.2	32.2
1841.T20474	18.0	18.0
10317.000002842	38.0	38.0
550.L6S220.s.6.sequence	32.78	32.78
1841.T20407	19.0	19.0
11052.1.27.14.rk.t	37.23	37.23
2202.Saliva268	26.0	26.0
1841.T20275	19.0	19.0
10317.000040134	64.0	64.0
10317.000072263	39.0	39.0
10317.000013876	27.0	27.0
550.L6S251.s.6.sequence	32.87	32.87
2024.visit4.MNIH85NP.BFE10L.O	20.0	20.0
2024.visit5.MNIH63O.BFL10L.O	32.0	32.0
10317.000010745	57.0	57.0
10317.000003604	60.0	60.0
550.L6S312.s.6.sequence	33.05	33.05
10317.000013870	20.0	20.0
10317.000042898	60.0	60.0
2024.final.MNIH86NP.BFG111.O	25.0	25.0
550.L6S39.s.6.sequence	32.25	32.25
10317.000043206	59.0	59.0
550.L5S104.s.5.sequence	33.15	33.15
10317.000009634	61.0	61.0
10317.000067069	25.0	25.0
10317.000009715	54.0	54.0
2024.final.MNIH31U.BFG10G.O	23.0	23.0
10317.000005658	35.0	35.0
10317.000003334	74.0	74.0
550.L5S284.s.5.sequence	32.1	32.1
10317.000063348	29.0	29.0
2024.final.MNIH84NP.BFG109.O	22.0	22.0
10317.000002641	46.0	46.0
550.L6S300.s.6.sequence	33.01	33.01
1841.T21029	20.0	20.0
10317.000051538	37.0	37.0
2202.Saliva108	26.0	26.0
2202.Saliva109	26.0	26.0
10317.000049878	74.0	74.0
2202.Saliva102	26.0	26.0
2202.Saliva103	26.0	26.0
10317.000051533	32.0	32.0
2202.Saliva101	26.0	26.0
2202.Saliva106	26.0	26.0
2202.Saliva107	26.0	26.0
2202.Saliva104	26.0	26.0
2202.Saliva105	26.0	26.0
1841.T20999	20.0	20.0
1841.T20998	20.0	20.0
550.L5S125.s.5.sequence	33.21	33.21
1841.T20991	20.0	20.0
1841.T20997	24.0	24.0
1841.T20996	20.0	20.0
10317.000042693	60.0	60.0
2024.birth.MNIH88NP.BFF110.O	27.0	27.0
2024.visit4.MNIH83NP.BFE10J.O	24.0	24.0
550.L5S124.s.5.sequence	33.21	33.21
10052.MG.O49	19.0	19.0
10317.000063168	29.0	29.0
1841.T20972	21.0	21.0
1841.T20974	22.0	22.0
1841.T20977	21.0	21.0
1841.T20976	20.0	20.0
1841.T20979	20.0	20.0
550.L6S221.s.6.sequence	32.79	32.79
1841.T20887	20.0	20.0
550.L6S161.s.6.sequence	32.62	32.62
2202.Saliva217	26.0	26.0
2202.Saliva214	26.0	26.0
2202.Saliva215	26.0	26.0
2202.Saliva212	26.0	26.0
2202.Saliva213	26.0	26.0
2202.Saliva210	26.0	26.0
1774.8Oral22.10.09	24.0	24.0
2202.Saliva219	26.0	26.0
2024.visit5.MNIH51N.BFL107.O	21.0	21.0
2202.Saliva166	26.0	26.0
1841.T21119	20.0	20.0
550.L6S277.s.6.sequence	32.95	32.95
2024.visit4.MNIH14UP.BFE10K.O	18.0	18.0
1841.T21110	22.0	22.0
1841.T21111	33.0	33.0
1841.T21112	32.0	32.0
1841.T21113	24.0	24.0
1841.T21115	21.0	21.0
1841.T21232	32.0	32.0
2202.Saliva285	26.0	26.0
2024.visit1.MNIH59N.BFB10N.O	20.0	20.0
1774.408.Oral.Puer	63.0	63.0
10317.000004953	84.0	84.0
2202.Saliva68	26.0	26.0
2202.Saliva69	26.0	26.0
1841.T20916	30.0	30.0
2202.Saliva64	26.0	26.0
2202.Saliva66	26.0	26.0
11052.10.4.13.rk.t	36.0	36.0
1841.T20373	55.0	55.0
1841.T20371	20.0	20.0
1841.T21072	20.0	20.0
550.L6S213.s.6.sequence	32.76	32.76
1841.T21071	22.0	22.0
1841.T20400	37.0	37.0
2024.visit3.MNIH39U.BFD10J.O	39.0	39.0
2024.birth.MNIH48N.BFF10A.O	30.0	30.0
11052.11.23.13.rk.t	37.0	37.0
11052.3.22.14.rk.t	37.378	37.378
2024.visit1.MNIH82NP.BFB10V.O	18.0	18.0
1841.T21177	30.0	30.0
10317.000005567	53.0	53.0
10317.000048403	28.0	28.0
10317.000005362	67.0	67.0
550.L6S285.s.6.sequence	32.97	32.97
11052.2.13.14.rk.t	37.277	37.277
1841.T20406	18.0	18.0
2010.2234	22.0	22.0
550.L6S289.s.6.sequence	32.98	32.98
550.L5S213.s.5.sequence	33.57	33.57
550.L6S179.s.6.sequence	32.67	32.67
2024.visit3.MNIH34U.BFD114.O	22.0	22.0
1841.T20746	20.0	20.0
1841.T20747	21.0	21.0
1841.T20745	21.0	21.0
1841.T20742	21.0	21.0
1841.T20740	21.0	21.0
1841.T20255	20.0	20.0
550.L5S215.s.5.sequence	33.58	33.58
2202.Saliva264	26.0	26.0
10317.000058953	29.0	29.0
10317.000058952	31.0	31.0
550.L6S241.s.6.sequence	32.84	32.84
10317.000003409	49.0	49.0
1841.T20252	21.0	21.0
10317.000017704	24.0	24.0
2024.visit5.MNIH14UP.BFL10Y.O	18.0	18.0
10317.000006679	41.0	41.0
11052.12.26.13.rk.t	37.0	37.0
2202.Saliva53	26.0	26.0
11052.3.5.14.rk.t	37.332	37.332
1841.T21217	21.0	21.0
10317.000017318	70.0	70.0
550.L6S243.s.6.sequence	32.85	32.85
11052.10.27.13.rk.t	36.0	36.0
550.L6S253.s.6.sequence	32.88	32.88
2024.visit2.MNIH39U.BFC10C.O	39.0	39.0
550.L5S214.s.5.sequence	33.57	33.57
11052.11.24.13.rk.t	37.0	37.0
1841.T21565	20.0	20.0
11052.1.30.14.rk.t	37.238	37.238
1841.T21568	20.0	20.0
2024.visit3.MNIH81NP.BFD118.O	20.0	20.0
550.L6S28.s.6.sequence	32.21	32.21
10317.000003558	48.0	48.0
10317.000069055	31.0	31.0
550.L5S99.s.5.sequence	33.14	33.14
10317.000010257	60.0	60.0
10317.000048269	37.0	37.0
11052.10.29.13.rk.t	36.0	36.0
550.L6S11.s.6.sequence	32.16	32.16
10317.000071492	23.0	23.0
2010.1318	27.0	27.0
550.L5S245.s.5.sequence	31.97	31.97
550.L6S65.s.6.sequence	32.33	32.33
550.L6S137.s.6.sequence	32.54	32.54
550.L6S210.s.6.sequence	32.75	32.75
2024.visit2.MNIH51N.BFC10M.O	21.0	21.0
550.L5S151.s.5.sequence	33.36	33.36
11052.3.4.14.rk.t	37.329	37.329
550.L6S41.s.6.sequence	32.26	32.26
1841.T20568	21.0	21.0
1841.T20569	41.0	41.0
1841.T20566	22.0	22.0
1841.T20565	20.0	20.0
550.L6S10.s.6.sequence	32.15	32.15
1841.T20563	20.0	20.0
1841.T20561	21.0	21.0
2010.1952	32.0	32.0
550.L5S147.s.5.sequence	33.3	33.3
550.L5S228.s.5.sequence	33.63	33.63
550.L5S168.s.5.sequence	33.44	33.44
550.L5S138.s.5.sequence	33.27	33.27
2010.1553	35.0	35.0
10317.000079413	62.0	62.0
2024.visit2.MNIH84NP.BFC10E.O	22.0	22.0
1841.T20414	19.0	19.0
11052.11.5.13.rk.t	36.0	36.0
10317.000009072	31.0	31.0
11052.RK.Tong.10.24.2008	36.0	36.0
2024.visit5.MNIH52N.BFL105.O	22.0	22.0
11052.11.20.13.rk.t	37.0	37.0
2024.visit3.MNIH23U.BFD119.O	25.0	25.0
10317.000029263	39.0	39.0
10317.000030582	27.0	27.0
10317.000030584	51.0	51.0
10317.000014213	60.0	60.0
550.L5S282.s.5.sequence	32.1	32.1
550.L6S308.s.6.sequence	33.03	33.03
10317.000063228	27.0	27.0
1841.T20266	22.0	22.0
10317.000020447	53.0	53.0
550.L6S32.s.6.sequence	32.22	32.22
2024.birth.MNIH41N.BFF10T.O	24.0	24.0
550.L6S117.s.6.sequence	32.48	32.48
10317.000067073	61.0	61.0
