#SampleID	qiita_host_age	age
2010.1617	28	28
1841.F06309	21	21
1841.P16579	21	21
1841.F05648	21	21
1841.F05646	36	36
1841.F06519	21	21
10317.000063327	36	36
1841.F06514	36	36
1841.F06517	20	20
10317.000036462	38	38
1841.F06510	21	21
10317.000063320	36	36
10317.000034638	64	64
10317.000034639	64	64
11052.5.23.13.rk.lh	36	36
10317.000063188	38	38
2010.2255	22	22
1841.F05826	20	20
1841.P15504	20	20
1841.P15505	22	22
1841.P15506	20	20
1841.P15507	32	32
1841.F05536	28	28
1841.F05537	30	30
1841.F05532	22	22
1841.F05533	22	22
1841.F05530	21	21
1841.F05531	20	20
11052.6.22.13.rk.rh	36	36
10317.000005361	67	67
11052.5.14.13.rk.lh	36	36
1841.F05656	21	21
10317.000068818	23	23
1841.P16088	22	22
1841.P16089	20	20
1841.P16085	20	20
1841.P16086	20	20
1841.P16081	22	22
1841.P16083	22	22
10317.000048369	30	30
2010.1288	34	34
2010.1420	35	35
10317.000003167	56	56
1841.F06181	29	29
1841.F06186	36	36
1841.P15757	20	20
1841.P15975	21	21
1841.P15753	22	22
1841.P15976	21	21
1841.P15978	22	22
1841.P15759	20	20
1841.P16000	21	21
10317.000063296	26	26
1841.P15962	36	36
1841.P15747	20	20
1841.P15966	29	29
11052.5.15.13.rk.lh	36	36
10317.000015381	34	34
10317.000015383	34	34
10317.000015382	34	34
1841.F05274	21	21
1841.F05276	24	24
1841.F05279	20	20
1841.F05278	24	24
10317.000009093	35	35
10317.000069111	29	29
10317.000069118	29	29
1841.P16475	23	23
1841.P16477	20	20
11052.6.7.13.rk.fh	36	36
11052.6.23.13.rk.lh	36	36
10317.000066824	29	29
1841.F06543	20	20
1841.F06247	21	21
1841.F06533	20	20
1841.F06532	22	22
1841.F06531	21	21
1841.F06530	22	22
1841.F06537	41	41
1841.F06536	20	20
1841.F06534	21	21
1841.F06539	23	23
1841.F06538	20	20
11052.5.29.13.rk.fh	36	36
10317.000049908	69	69
1841.P15566	30	30
1841.P15567	22	22
1841.P15562	21	21
1841.P15561	21	21
1841.F05519	20	20
1841.F05514	20	20
1841.F05515	20	20
1841.F05510	24	24
1841.F05513	20	20
10317.000005597	74	74
1841.F05436	20	20
10317.000008202	47	47
10317.000008200	46	46
1841.F05438	22	22
1841.P15967	20	20
2010.1402	27	27
10317.000015186	26	26
10317.000015188	26	26
11052.6.2.13.rk.lh	36	36
11052.5.10.13.rk.lh	36	36
10317.000009107	36	36
10317.000063284	29	29
1841.P15957	20	20
1841.P15956	21	21
1841.P15955	22	22
1841.P15954	20	20
1841.P15951	22	22
1841.P15770	30	30
1841.P15777	20	20
1841.P15959	21	21
1841.F06259	20	20
1841.F06254	20	20
1841.P15569	20	20
1841.F06252	22	22
1841.F06253	20	20
1841.F06250	20	20
11052.5.5.13.rk.fh	36	36
1841.P15563	20	20
11052.5.4.13.rk.lh	36	36
11052.6.28.13.rk.fh	36	36
2010.2602	21	21
1841.F06093	23	23
10317.000029543	48	48
1841.F05250	19	19
1841.F05258	33	33
11052.6.3.13.rk.fh	36	36
1841.F06052	22	22
11052.5.21.13.rk.rh	36	36
1841.P16329	30	30
1841.P16328	30	30
1841.P16321	25	25
1841.P16320	33	33
1841.P16451	22	22
1841.P16322	21	21
1841.P16325	33	33
1841.P16327	32	32
1841.P16326	24	24
1841.F05043	22	22
1841.F05517	20	20
1841.F05512	32	32
1841.P15682	20	20
2010.1653	28	28
1841.F06450	20	20
1841.F06451	23	23
10317.000066848	27	27
11052.6.5.13.rk.fh	36	36
10317.000066843	27	27
10317.000003085	53	53
11052.5.8.13.rk.lh	36	36
1841.F06088	22	22
1841.F06299	22	22
1841.F06082	21	21
10317.000022099	41	41
1841.F06085	23	23
10317.000015212	34	34
1841.P15098	22	22
1841.P15096	21	21
1841.P15095	23	23
1841.P15092	23	23
1841.P15093	22	22
1841.P15090	20	20
1841.P15091	21	21
1841.P15546	22	22
1841.P15540	28	28
1841.P15238	20	20
1841.P15548	20	20
1841.P15549	30	30
1841.P16539	22	22
11052.5.6.13.rk.fh	36	36
1841.F05060	23	23
1841.F05063	23	23
1841.F05065	23	23
1841.F05066	22	22
1841.F05068	23	23
10317.000029487	62	62
10317.000015222	53	53
10317.000015221	53	53
1841.F05932	18	18
1841.F05936	18	18
1841.F05937	19	19
1841.P16157	24	24
1841.P16154	21	21
1841.P16158	22	22
2010.1462	34	34
1841.P16462	27	27
1841.P15939	22	22
1841.P15938	21	21
1841.P15935	21	21
1841.P15934	21	21
1841.P15936	23	23
1841.P15931	21	21
1841.P15932	21	21
1841.F06274	32	32
1841.F06276	32	32
1841.F06277	32	32
1841.F06270	22	22
1841.F06271	37	37
10317.000015308	36	36
1841.F05639	20	20
11052.6.30.13.rk.fh	36	36
11052.5.18.13.rk.lhB	36	36
11052.5.18.13.rk.lhA	36	36
10317.000005071	62	62
10317.000005070	62	62
10317.000005079	33	33
1841.P15018	36	36
10317.000005291	69	69
10317.000007078	48	48
10317.000007079	48	48
10317.000006732	55	55
1841.F05232	25	25
11052.5.3.13.rk.lh	36	36
1841.P16307	33	33
1841.P16306	20	20
1841.P16305	33	33
1841.P16304	33	33
1841.P16303	21	21
11052.5.24.13.rk.lh	36	36
2010.1851	32	32
10317.000066867	29	29
10317.000066866	29	29
10317.000066861	29	29
10317.000066868	29	29
1841.F05101	28	28
10317.000003535	46	46
11052.6.4.13.rk.lh	36	36
10317.000043162	86	86
10317.000049833	61	61
2010.2229	22	22
1841.P15218	20	20
1841.P15211	20	20
1841.P15213	20	20
1841.P15215	23	23
1841.P15216	22	22
1841.P15217	20	20
11052.6.15.13.rk.rh	36	36
10317.000069142	34	34
10317.000068842	36	36
1841.F05006	22	22
1841.F05004	23	23
1841.F05003	27	27
1841.F05008	20	20
1841.F05009	20	20
2010.2149	22	22
10317.000015207	60	60
10317.000015208	60	60
1841.F05910	19	19
10317.000032844	34	34
1841.P16170	22	22
1841.P16173	25	25
1841.P16174	24	24
1841.P16175	21	21
1841.P16176	20	20
1841.P16177	28	28
10317.000069075	22	22
10317.000007766	37	37
10317.000007764	37	37
1841.F05430	20	20
10317.000063243	31	31
10317.000007760	38	38
11052.6.20.13.rk.lh	36	36
11052.5.25.13.rk.fh	36	36
1841.F06292	19	19
1841.F06293	22	22
1841.F06290	22	22
1841.F06296	37	37
1841.F06294	37	37
1841.P15913	22	22
1841.P15912	20	20
1841.P15917	20	20
11052.6.13.13.rk.rh	36	36
1841.P15914	29	29
10317.000062190	29	29
11052.6.10.13.rk.rh	36	36
1841.P15258	21	21
1841.F05002	20	20
2010.2318	23	23
1841.P15953	20	20
10317.000009079	24	24
1841.P15775	20	20
1841.P15774	55	55
10317.000040126	46	46
1841.F05213	30	30
1841.F05211	28	28
1841.F05216	22	22
1841.F05219	20	20
1841.F05218	32	32
1841.P16365	32	32
1841.P16367	22	22
1841.P16366	33	33
1841.P16362	20	20
1841.P16369	21	21
1841.P16581	21	21
1841.P16580	21	21
1841.P16583	20	20
1841.P16582	36	36
1841.P16586	20	20
1841.P16589	21	21
1841.P16588	20	20
11052.6.9.13.rk.rh	36	36
10317.000002877	39	39
1841.F06354	20	20
1841.F06597	22	22
1841.F06591	21	21
1841.F06590	23	23
1841.F06592	20	20
1841.F06599	22	22
1841.F06598	20	20
1841.P15058	20	20
1841.P15052	21	21
1841.P15053	20	20
1841.P15050	21	21
1841.P15056	23	23
1841.P15057	20	20
11052.5.26.13.rk.fh	36	36
1841.P15055	20	20
11052.5.29.13.rk.lh	36	36
10317.000049876	74	74
10317.000051534	32	32
10317.000051536	37	37
1841.F06331	21	21
1841.F06330	20	20
1841.F06333	23	23
1841.F06335	21	21
1841.F06337	23	23
1841.F06339	20	20
1841.F06338	21	21
1841.P15275	21	21
1841.P15272	21	21
1841.P15273	21	21
1841.P15582	30	30
1841.P15585	37	37
1841.P15587	30	30
1841.P15589	28	28
11052.RK.LPalm.10.23.2008	31	31
10317.000005457	48	48
1841.P15278	22	22
10317.000068823	29	29
1841.F05029	22	22
1841.F05024	27	27
1841.F05025	22	22
1841.P15277	21	21
1841.F05689	21	21
1841.F05680	22	22
1841.F05682	20	20
1841.F05683	23	23
1841.F05684	21	21
1841.F05686	20	20
1841.P15556	21	21
1841.P15554	20	20
1841.P15559	21	21
1841.F05977	18	18
1841.F05974	27	27
10317.000069058	31	31
10317.000069051	31	31
2010.1319	27	27
10317.000013240	61	61
1841.F06109	41	41
10317.000063224	27	27
1841.F06102	20	20
11052.6.8.13.rk.rh	36	36
1841.F06106	21	21
1841.F06107	20	20
11052.6.16.13.rk.fh	36	36
11052.5.4.13.rk.fh	36	36
11052.6.28.13.rk.lh	36	36
1841.P16349	21	21
1841.P16343	30	30
1841.P16342	21	21
1841.P16341	19	19
1841.P16340	24	24
11052.5.18.13.rk.rhA	36	36
2010.1814	34	34
10317.000005021	30	30
1841.P16452	27	27
11052.6.5.13.rk.lh	36	36
10317.000005458	47	47
1841.F06230	55	55
11052.5.31.13.rk.lh	36	36
1841.F05256	21	21
11052.5.19.13.rk.rh	36	36
1841.F05252	55	55
1841.P15070	20	20
1841.P15071	20	20
1841.P15072	20	20
1841.P15073	36	36
1841.P15074	22	22
1841.P15075	21	21
1841.P15076	21	21
1841.P15077	21	21
1841.P15079	20	20
1841.F06317	21	21
1841.F06316	22	22
1841.F06312	20	20
1841.F06311	21	21
1841.F06310	21	21
1841.F06319	21	21
1841.P15256	36	36
1841.P15257	20	20
1841.P15250	20	20
1841.P15251	21	21
1841.P15252	21	21
1841.P15253	21	21
1841.P16450	22	22
1841.F06237	20	20
10317.000068806	30	30
1841.F05340	22	22
10317.000005578	33	33
10317.000005574	33	33
10317.000007117	60	60
10317.000007115	60	60
10317.000007119	60	60
1841.P15210	20	20
1841.P16288	37	37
1841.P16286	55	55
1841.P16287	32	32
1841.P16284	22	22
1841.P16281	19	19
10317.000069034	22	22
10317.000069039	33	33
1841.F05403	20	20
1841.F05400	22	22
1841.F05405	37	37
1841.F05408	21	21
11052.5.25.13.rk.lh	36	36
10317.000046210	26	26
1841.F05049	20	20
2010.1377	35	35
1841.P16137	19	19
10317.000003336	74	74
10317.000005420	54	54
10317.000005421	54	54
1841.P16453	20	20
11052.6.8.13.rk.lh	36	36
1841.P16324	21	21
1841.P16454	23	23
1841.F05041	23	23
1841.F06123	41	41
1841.F06127	23	23
1841.F05046	20	20
1841.P15020	22	22
2010.1715	22	22
11052.5.3.13.rk.rh	36	36
1841.F06377	21	21
2010.2868	23	23
10317.000005598	74	74
10317.000005594	74	74
10317.000015183	55	55
10317.000015182	55	55
10317.000015184	55	55
11052.5.15.13.rk.fh	36	36
11052.6.17.13.rk.lh	36	36
10317.000049733	36	36
10317.000049732	36	36
11052.5.6.13.rk.lh	36	36
1841.P15014	20	20
1841.P15012	23	23
1841.P15013	22	22
1841.P15010	21	21
1841.P15011	41	41
11052.5.14.13.rk.fh	36	36
1841.F06378	21	21
10317.000063416	36	36
1841.F06372	20	20
10317.000049831	61	61
10317.000049839	69	69
1841.P15355	23	23
1841.P15604	21	21
10317.000023059	74	74
11052.6.26.13.rk.fh	36	36
1841.P15237	20	20
10317.000069015	24	24
1841.F05421	22	22
1841.F05423	21	21
1841.F05424	20	20
1841.F05425	55	55
1841.F05426	21	21
1841.P15370	23	23
11052.5.5.13.rk.lh	36	36
1841.P16573	21	21
10317.000005577	34	34
10317.000027763	32	32
1841.P15602	21	21
1841.P15354	23	23
1841.P15356	20	20
1841.P15608	22	22
1841.F06079	22	22
10317.000069063	29	29
1841.P15940	20	20
10317.000003339	73	73
1841.P15942	21	21
10317.000072302	41	41
1841.F06086	22	22
10317.000048954	40	40
10317.000048956	40	40
10317.000048957	40	40
1841.F05850	30	30
2010.2800	23	23
1841.F05854	21	21
1841.F05857	21	21
1841.P16072	28	28
1841.P16079	22	22
1841.P16078	25	25
1841.F05180	32	32
2010.1728	22	22
1841.F05635	21	21
1841.P15350	27	27
10317.000003029	32	32
10317.000003025	44	44
11052.6.7.13.rk.rh	36	36
1841.P15038	21	21
1841.P15039	20	20
1841.P15036	21	21
1841.P15037	41	41
1841.P15030	41	41
1841.P15031	21	21
1841.P15032	20	20
10317.000017775	56	56
1841.F06421	21	21
1841.F06420	22	22
1841.F06422	21	21
1841.F06425	22	22
1841.F06424	22	22
1841.F06426	22	22
1841.F06428	20	20
10317.000049768	66	66
10317.000049767	66	66
10317.000049766	66	66
10317.000049763	52	52
10317.000049762	52	52
10317.000005359	67	67
1841.P15294	21	21
1841.P15295	20	20
1841.P15297	22	22
10317.000002088	52	52
1841.F05191	26	26
1841.F05621	23	23
1841.F05457	37	37
1841.F05456	55	55
10317.000004928	55	55
1841.F05980	27	27
1841.F05447	25	25
1841.F05445	21	21
1841.P16246	20	20
1841.P16244	37	37
1841.F05990	18	18
1841.F05993	19	19
1841.F05995	27	27
10317.000022189	57	57
10317.000063450	29	29
10317.000041369	42	42
1841.F05852	24	24
11052.5.5.13.rk.rh	36	36
1841.F05858	21	21
11052.6.14.13.rk.fh	36	36
1841.F06168	20	20
10317.000040147	34	34
1841.P15999	21	21
1841.P15998	23	23
1841.P15993	21	21
1841.P15996	22	22
1841.P15994	22	22
1841.P15192	19	19
11052.6.6.13.rk.lh	36	36
11052.5.18.13.rk.fhA	36	36
11052.5.18.13.rk.fhB	36	36
10317.000005262	28	28
11052.5.13.13.rk.rh	36	36
2010.2828	23	23
1841.P15600	32	32
1841.F05293	32	32
10317.000012183	20	20
1841.F05294	25	25
10317.000048386	59	59
10317.000048387	59	59
10317.000048388	21	21
10317.000048389	21	21
1841.P15801	20	20
1841.F05064	23	23
1841.F05876	25	25
1841.F05874	24	24
1841.F05871	28	28
1841.P16508	20	20
1841.P16503	20	20
1841.P16502	20	20
1841.P16504	21	21
1841.P16059	20	20
1841.P16506	21	21
10317.000007131	39	39
11052.5.31.13.rk.fh	36	36
10317.000030149	27	27
10317.000010743	57	57
11052.5.6.13.rk.rh	36	36
1841.F05246	33	33
1841.F06407	21	21
1841.F06406	20	20
1841.F06405	23	23
1841.F06404	21	21
1841.F06403	23	23
1841.F06400	29	29
1841.F06409	21	21
10317.000023967	37	37
11052.6.4.13.rk.fh	36	36
10317.000049121	62	62
1841.F05601	20	20
1841.F05603	21	21
1841.F05605	23	23
1841.F05606	22	22
1841.F05607	20	20
1841.F05608	23	23
1841.F05609	20	20
1841.P16262	20	20
1841.P16266	30	30
1841.F05467	21	21
1841.F05461	55	55
1841.F05463	21	21
1841.F05468	22	22
1841.P16196	26	26
1841.P16197	19	19
1841.P16194	26	26
1841.P16199	21	21
1841.F05652	21	21
1841.P16449	20	20
2010.1394	27	27
1841.P16447	20	20
1841.P16440	23	23
1841.P16337	32	32
1841.P16335	33	33
11052.6.20.13.rk.fh	36	36
10317.000005419	54	54
10317.000015223	53	53
10317.000041346	46	46
10317.000041345	46	46
10317.000040124	46	46
1841.P15171	27	27
1841.P15172	19	19
1841.P15177	18	18
11052.5.7.13.rk.rh	36	36
1841.P15311	21	21
10317.000069027	22	22
11052.5.9.13.rk.rh	36	36
11052.6.1.13.rk.lh	36	36
2010.3131	31	31
10317.000015120	28	28
10317.000036735	63	63
10317.000036732	63	63
1841.F05819	33	33
1841.F05818	22	22
1841.F05814	32	32
1841.F05817	20	20
1841.F05816	21	21
1841.F05810	32	32
1841.F05813	20	20
1841.F05812	24	24
1841.P16527	21	21
1841.P16526	22	22
1841.P16525	23	23
1841.P16522	20	20
1841.P16521	23	23
1841.P16520	20	20
1841.F06353	21	21
1841.F06352	20	20
1841.F06351	20	20
10317.000007113	60	60
10317.000007112	60	60
2010.2777	24	24
10317.000007110	60	60
1841.F06356	20	20
11052.6.17.13.rk.fh	36	36
10317.000014464	41	41
10317.000004206	76	76
1841.F06468	36	36
1841.F06399	22	22
1841.F06398	23	23
1841.F06397	22	22
1841.F06396	20	20
1841.F06467	22	22
1841.F06394	21	21
1841.F06393	22	22
1841.F06391	21	21
1841.F06462	20	20
10317.000002610	56	56
1841.P15614	21	21
10317.000003421	38	38
10317.000005646	65	65
1841.P15610	41	41
10317.000005644	65	65
10317.000005645	65	65
1841.P15347	27	27
1841.F05957	18	18
11052.5.26.13.rk.lh	36	36
1841.P15782	22	22
1841.P15783	22	22
1841.P15787	37	37
1841.P15784	21	21
1841.P15785	22	22
10317.000015363	43	43
10317.000020708	38	38
1841.P15788	22	22
1841.P15789	21	21
10317.000015365	43	43
1841.F05667	22	22
1841.F05664	22	22
1841.F05665	21	21
1841.F05662	21	21
1841.F05660	20	20
1841.F05661	21	21
1841.P16204	37	37
1841.P16200	21	21
1841.P15299	23	23
10317.000015326	35	35
1841.F05481	22	22
1841.F05487	20	20
1841.F05484	21	21
11052.6.27.13.rk.rh	36	36
10317.000015452	45	45
10317.000015354	35	35
10317.000015352	35	35
10317.000015351	35	35
11052.6.21.13.rk.rh	36	36
10317.000031066	42	42
11052.6.16.13.rk.lh	36	36
11052.5.7.13.rk.lh	36	36
1841.P15159	27	27
1841.P15158	19	19
1841.P15156	27	27
10317.000027703	68	68
1841.P15152	19	19
11052.5.30.13.rk.lh	36	36
2010.3117	31	31
1841.F05833	30	30
1841.F05832	21	21
1841.F05343	21	21
1841.F05830	26	26
1841.F05345	22	22
1841.F05836	28	28
1841.F05835	19	19
1841.F05834	30	30
1841.F05838	32	32
1841.F05628	41	41
1841.F05629	21	21
2010.1218	27	27
1841.F05623	22	22
1841.F05620	36	36
1841.P16013	26	26
1841.P16546	22	22
1841.P16541	21	21
1841.P16016	19	19
1841.P16015	55	55
1841.P16014	32	32
1841.P16549	20	20
11052.6.12.13.rk.lh	36	36
10317.000028935	49	49
10317.000068950	39	39
10317.000002212	69	69
11052.6.22.13.rk.fh	36	36
10317.000015978	66	66
1841.F06446	21	21
1841.F06445	21	21
1841.F06448	22	22
10317.000007829	37	37
10317.000068787	39	39
1841.F05442	20	20
1841.F05644	22	22
1841.F05133	30	30
10317.000027340	55	55
1841.F05136	22	22
1841.P16228	32	32
1841.P16229	20	20
10317.000020534	34	34
1841.P16225	37	37
1841.P16227	21	21
1841.P16222	20	20
1841.P16247	30	30
11052.6.2.13.rk.rh	36	36
1841.P16488	22	22
1841.P16482	27	27
10317.000015303	33	33
10317.000015302	33	33
10317.000015301	33	33
1841.P15109	27	27
1841.F05841	30	30
2010.1689	22	22
1841.P15105	18	18
10317.000015465	69	69
1841.F05845	22	22
11052.6.14.13.rk.lh	36	36
1841.P15130	19	19
1841.P15132	18	18
10317.000003299	61	61
1841.F06059	27	27
1841.F06055	27	27
1841.F06057	20	20
1841.P15683	29	29
11052.6.8.13.rk.fh	36	36
10317.000007034	43	43
10317.000005431	36	36
10317.000005430	36	36
10317.000005432	36	36
1841.F06550	22	22
11052.6.6.13.rk.fh	36	36
1841.F06557	20	20
1841.F06004	20	20
1841.F05583	22	22
1841.F05580	21	21
1841.F05588	21	21
1841.F05365	18	18
1841.F05361	24	24
1841.F06488	21	21
1841.F06485	20	20
1841.F06484	22	22
1841.F06483	21	21
1841.F06481	20	20
1841.P16569	41	41
1841.P16568	22	22
1841.P16563	23	23
1841.P16562	22	22
1841.P16561	21	21
1841.P16567	20	20
1841.P16566	41	41
1841.P16565	21	21
1841.P16564	20	20
10317.000002874	72	72
11052.5.24.13.rk.fh	36	36
10317.000028916	73	73
11052.5.8.13.rk.rh	36	36
10317.000031910	54	54
11052.5.18.13.rk.rhB	36	36
11052.6.9.13.rk.fh	36	36
2010.3092	31	31
11052.6.26.13.rk.lh	36	36
10317.000026072	42	42
2010.2902	24	24
2010.2946	23	23
1841.F05110	20	20
1841.F05111	20	20
1841.F05113	21	21
1841.F05116	21	21
1841.F05117	26	26
1841.F05119	21	21
1841.P15279	22	22
10317.000049825	38	38
1841.P16602	22	22
1841.P16603	21	21
1841.P16600	21	21
1841.P16601	21	21
1841.P15111	18	18
1841.P15117	27	27
1841.P15114	27	27
1841.F06039	23	23
1841.F06034	23	23
10317.000063351	29	29
1841.P15803	21	21
11052.5.9.13.rk.lh	36	36
10317.000063171	29	29
2010.2690	26	26
1841.P15990	23	23
1841.P15997	36	36
1841.F05569	20	20
1841.F05568	37	37
1841.F05561	21	21
1841.F05560	21	21
1841.F05562	21	21
1841.F05565	20	20
10317.000015152	25	25
1841.F05567	22	22
1841.P15195	19	19
10317.000015154	25	25
2010.2201	22	22
1841.F06345	20	20
10317.000047841	56	56
1841.F06437	21	21
1841.F06434	20	20
1841.F06435	41	41
10317.000049807	66	66
1841.P15377	23	23
11052.5.12.13.rk.fh	36	36
1841.F05314	23	23
1841.F06489	21	21
1841.F06487	21	21
1841.P15378	22	22
11052.6.12.13.rk.rh	36	36
11052.5.22.13.rk.rh	36	36
1841.F05177	26	26
10317.000005088	34	34
1841.F05170	25	25
10317.000005084	34	34
10317.000005086	34	34
10317.000005081	33	33
10317.000005083	33	33
2010.2072	32	32
10317.000015330	35	35
10317.000033403	37	37
10317.000038318	45	45
11052.6.11.13.rk.rh	36	36
10317.000030411	36	36
1841.F06540	22	22
1841.F06546	22	22
1841.F06012	23	23
1841.F06545	20	20
1841.F06548	20	20
1841.F06019	20	20
11052.6.29.13.rk.fh	36	36
10317.000063152	25	25
1841.P15395	23	23
1841.P15392	21	21
1841.P15399	19	19
1841.P15398	22	22
10317.000005167	60	60
10317.000005166	60	60
10317.000005165	60	60
10317.000005161	29	29
10317.000005160	29	29
10317.000012382	48	48
1841.F05543	22	22
1841.F05542	21	21
1841.P15083	21	21
10317.000027366	37	37
1841.P15531	20	20
1841.P15530	22	22
1841.P15533	22	22
1841.P15532	21	21
1841.P15534	22	22
1841.P15537	20	20
1841.F05619	21	21
1841.F05615	20	20
1841.F05896	26	26
1841.F05891	20	20
1841.F05893	33	33
1841.F05613	23	23
